"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 31, 2017","277.35","274.00","278.25","272.30","1.19M","1.17%"
"Mar 30, 2017","274.15","276.35","276.90","272.75","2.80M","-0.56%"
"Mar 29, 2017","275.70","275.00","276.25","272.55","1.11M","0.36%"
"Mar 28, 2017","274.70","275.40","277.20","273.35","1.22M","0.07%"
"Mar 27, 2017","274.50","280.95","281.00","273.10","2.59M","-2.42%"
"Mar 24, 2017","281.30","282.85","284.00","280.30","699.67K","-0.02%"
"Mar 23, 2017","281.35","285.10","286.40","280.60","1.60M","-0.95%"
"Mar 22, 2017","284.05","279.90","285.50","279.75","1.80M","0.67%"
"Mar 21, 2017","282.15","280.85","283.00","279.55","1.18M","1.17%"
"Mar 20, 2017","278.90","280.00","283.00","277.80","2.85M","0.29%"
"Mar 17, 2017","278.10","275.30","281.00","274.20","4.25M","1.16%"
"Mar 16, 2017","274.90","274.20","275.60","271.20","3.14M","0.38%"
"Mar 15, 2017","273.85","274.50","277.20","271.25","2.61M","0.09%"
"Mar 14, 2017","273.60","275.40","277.90","271.85","2.53M","0.07%"
"Mar 10, 2017","273.40","275.35","276.95","272.80","1.23M","-0.56%"
"Mar 09, 2017","274.95","274.95","276.15","272.80","1.05M","0.00%"
"Mar 08, 2017","274.95","277.00","277.00","274.10","1.16M","-0.40%"
"Mar 07, 2017","276.05","278.20","279.25","275.15","1.06M","-0.65%"
"Mar 06, 2017","277.85","277.50","279.30","275.00","902.40K","0.22%"
"Mar 03, 2017","277.25","276.05","278.85","273.30","1.77M","0.25%"
"Mar 02, 2017","276.55","276.15","278.95","274.65","1.16M","0.14%"
"Mar 01, 2017","276.15","277.90","278.75","274.35","1.50M","-0.27%"
"Feb 28, 2017","276.90","274.80","277.25","273.40","1.54M","1.54%"
"Feb 27, 2017","272.70","270.00","275.60","270.00","2.05M","1.17%"
"Feb 23, 2017","269.55","270.50","272.70","268.75","2.75M","-0.42%"
"Feb 22, 2017","270.70","273.75","274.80","269.40","1.36M","-0.84%"
"Feb 21, 2017","273.00","265.05","273.75","265.00","1.90M","3.19%"
"Feb 20, 2017","264.55","266.00","266.25","264.10","538.89K","-0.49%"
"Feb 17, 2017","265.85","266.25","267.40","264.10","477.71K","-0.06%"
"Feb 16, 2017","266.00","265.10","266.45","264.10","613.75K","0.34%"
"Feb 15, 2017","265.10","269.00","269.80","264.20","1.18M","-1.58%"
"Feb 14, 2017","269.35","270.00","271.40","268.10","1.05M","0.06%"
"Feb 13, 2017","269.20","265.05","270.55","263.65","1.00M","1.74%"
"Feb 10, 2017","264.60","266.50","267.00","263.60","868.86K","-0.43%"
"Feb 09, 2017","265.75","267.00","267.60","264.10","732.61K","-0.08%"
"Feb 08, 2017","265.95","267.00","267.90","264.40","975.07K","-0.36%"
"Feb 07, 2017","266.90","270.00","270.20","266.20","1.05M","-1.17%"
"Feb 06, 2017","270.05","269.90","271.75","268.20","883.62K","0.69%"
"Feb 03, 2017","268.20","275.40","275.70","267.75","2.09M","-2.06%"
"Feb 02, 2017","273.85","278.70","278.70","271.50","1.53M","-1.26%"
"Feb 01, 2017","277.35","277.75","278.00","274.30","1.82M","0.49%"
"Jan 31, 2017","276.00","280.20","281.00","273.60","1.58M","-1.50%"
"Jan 30, 2017","280.20","277.00","281.00","275.10","436.98K","1.12%"
"Jan 27, 2017","277.10","283.00","284.00","276.10","998.64K","-1.48%"
"Jan 25, 2017","281.25","277.55","284.00","275.60","1.90M","1.42%"
"Jan 24, 2017","277.30","277.00","278.40","275.25","1.15M","0.16%"
"Jan 23, 2017","276.85","275.25","277.30","274.20","552.23K","0.34%"
"Jan 20, 2017","275.90","276.90","278.00","274.00","773.75K","-0.36%"
"Jan 19, 2017","276.90","279.00","280.10","275.60","1.09M","-0.61%"
"Jan 18, 2017","278.60","278.95","282.00","277.95","679.05K","0.25%"
"Jan 17, 2017","277.90","279.20","282.95","274.95","816.85K","0.14%"
"Jan 16, 2017","277.50","281.10","282.10","277.05","406.34K","-1.47%"
"Jan 13, 2017","281.65","279.20","282.60","279.20","477.42K","1.00%"
"Jan 12, 2017","278.85","278.50","284.00","278.00","1.15M","0.13%"
"Jan 11, 2017","278.50","278.80","280.00","277.00","1.12M","0.31%"
"Jan 10, 2017","277.65","274.00","278.70","274.00","1.59M","1.48%"
"Jan 09, 2017","273.60","276.30","278.40","273.00","739.96K","-1.08%"
"Jan 06, 2017","276.60","279.25","280.50","275.50","782.10K","-0.81%"
"Jan 05, 2017","278.85","278.15","279.95","276.95","508.99K","0.83%"
"Jan 04, 2017","276.55","275.10","278.20","272.90","2.11M","0.38%"
"Jan 03, 2017","275.50","277.50","278.00","274.40","450.19K","-0.60%"
"Jan 02, 2017","277.15","278.00","278.40","274.40","265.52K","-0.36%"
"Dec 30, 2016","278.15","274.00","279.70","273.55","469.73K","1.37%"
"Dec 29, 2016","274.40","274.00","275.90","272.55","1.21M","0.11%"
"Dec 28, 2016","274.10","271.00","275.60","269.90","887.13K","1.33%"
"Dec 27, 2016","270.50","260.30","271.00","260.30","482.18K","4.06%"
"Dec 26, 2016","259.95","260.75","264.10","259.15","434.03K","-0.80%"
"Dec 23, 2016","262.05","265.00","266.20","261.50","752.59K","-1.30%"
"Dec 22, 2016","265.50","271.90","272.20","265.00","834.99K","-2.19%"
"Dec 21, 2016","271.45","276.00","276.35","270.90","643.91K","-1.17%"
"Dec 20, 2016","274.65","270.00","276.05","268.35","821.35K","2.12%"
"Dec 19, 2016","268.95","272.35","272.35","268.20","764.99K","-0.81%"
"Dec 16, 2016","271.15","271.35","272.25","269.80","645.36K","-0.07%"
"Dec 15, 2016","271.35","274.00","274.80","270.85","671.62K","-1.47%"
"Dec 14, 2016","275.40","281.25","282.40","275.00","573.24K","-1.94%"
"Dec 13, 2016","280.85","276.85","282.20","274.00","2.97M","1.67%"
"Dec 12, 2016","276.25","279.65","280.05","275.75","244.98K","-1.15%"
"Dec 09, 2016","279.45","280.00","281.60","277.70","610.13K","0.16%"
"Dec 08, 2016","279.00","280.75","282.15","277.35","918.25K","-0.20%"
"Dec 07, 2016","279.55","278.40","281.00","277.20","601.80K","-0.32%"
"Dec 06, 2016","280.45","285.00","285.00","279.05","1.72M","-2.09%"
"Dec 05, 2016","286.45","284.30","288.15","284.25","706.21K","0.88%"
"Dec 02, 2016","283.95","282.55","285.65","282.00","798.37K","-0.75%"
"Dec 01, 2016","286.10","285.05","288.30","283.60","1.05M","0.90%"
"Nov 30, 2016","283.55","278.65","286.00","276.20","2.23M","2.01%"
"Nov 29, 2016","277.95","277.85","279.90","275.70","887.65K","0.02%"
"Nov 28, 2016","277.90","275.00","279.30","274.75","622.32K","0.91%"
"Nov 25, 2016","275.40","278.95","278.95","274.80","329.61K","-0.31%"
"Nov 24, 2016","276.25","281.90","281.90","275.10","1.86M","-1.87%"
"Nov 23, 2016","281.50","278.40","284.45","275.15","1.36M","2.01%"
"Nov 22, 2016","275.95","277.30","280.00","274.25","935.63K","-0.04%"
"Nov 21, 2016","276.05","278.45","280.65","274.55","831.99K","-0.86%"
"Nov 18, 2016","278.45","276.50","280.15","274.40","731.69K","0.71%"
"Nov 17, 2016","276.50","275.05","280.40","275.05","927.87K","0.53%"
"Nov 16, 2016","275.05","272.30","280.20","272.30","1.38M","1.59%"
"Nov 15, 2016","270.75","283.40","283.45","269.50","2.14M","-3.46%"
"Nov 11, 2016","280.45","296.00","296.95","277.50","1.63M","-5.73%"
"Nov 10, 2016","297.50","300.00","305.00","296.40","1.36M","-0.32%"
"Nov 09, 2016","298.45","285.00","299.40","272.45","2.58M","0.24%"
"Nov 08, 2016","297.75","299.60","299.80","296.00","1.40M","0.19%"
"Nov 07, 2016","297.20","300.60","303.00","296.05","2.77M","-0.44%"
"Nov 04, 2016","298.50","293.65","301.20","292.90","2.17M","1.83%"
"Nov 03, 2016","293.15","295.00","298.50","290.70","2.02M","-0.61%"
"Nov 02, 2016","294.95","292.50","298.80","288.35","2.25M","1.27%"
"Nov 01, 2016","291.25","292.00","294.00","290.60","3.19M","-0.10%"
"Oct 30, 2016","291.55","292.00","294.00","291.00","47.62K","0.00%"
"Oct 28, 2016","291.55","289.90","292.60","287.45","2.39M","0.36%"
"Oct 27, 2016","290.50","294.00","294.50","289.00","6.35M","-2.09%"
"Oct 26, 2016","296.70","285.50","300.50","280.00","8.56M","4.07%"
"Oct 25, 2016","285.10","283.85","285.90","282.55","617.24K","0.37%"
"Oct 24, 2016","284.05","285.50","285.80","282.15","430.54K","-0.39%"
"Oct 21, 2016","285.15","281.40","285.80","280.25","1.13M","1.48%"
"Oct 20, 2016","281.00","277.60","282.95","276.85","1.07M","1.37%"
"Oct 19, 2016","277.20","275.05","280.35","275.05","864.55K","0.80%"
"Oct 18, 2016","275.00","271.15","276.40","271.15","1.16M","1.14%"
"Oct 17, 2016","271.90","279.00","280.45","271.00","1.42M","-2.86%"
"Oct 14, 2016","279.90","283.80","285.00","279.25","1.11M","-1.34%"
"Oct 13, 2016","283.70","286.00","286.40","282.85","1.86M","-0.93%"
"Oct 10, 2016","286.35","285.05","287.40","284.75","609.81K","0.60%"
"Oct 07, 2016","284.65","286.55","286.55","283.55","1.62M","-0.66%"
"Oct 06, 2016","286.55","284.30","288.30","284.00","2.76M","1.24%"
"Oct 05, 2016","283.05","280.60","283.90","279.20","4.78M","1.07%"
"Oct 04, 2016","280.05","279.40","281.15","278.00","1.68M","1.28%"
"Oct 03, 2016","276.50","272.10","278.70","271.20","3.79M","1.95%"
"Sep 30, 2016","271.20","269.55","272.00","266.40","2.64M","0.22%"
"Sep 29, 2016","270.60","279.90","279.90","269.30","1.46M","-2.42%"
"Sep 28, 2016","277.30","282.60","284.55","276.25","1.51M","-1.74%"
"Sep 27, 2016","282.20","281.75","283.80","279.20","514.39K","0.20%"
"Sep 26, 2016","281.65","281.00","283.60","280.10","670.06K","-0.21%"
"Sep 23, 2016","282.25","283.30","285.40","281.50","1.23M","-1.09%"
"Sep 22, 2016","285.35","291.50","292.35","284.50","1.75M","-1.48%"
"Sep 21, 2016","289.65","292.80","292.80","288.50","754.70K","-0.55%"
"Sep 20, 2016","291.25","294.15","294.65","290.65","829.87K","-1.07%"
"Sep 19, 2016","294.40","293.70","295.50","291.50","555.00K","0.55%"
"Sep 16, 2016","292.80","294.95","297.50","291.60","787.65K","-0.37%"
"Sep 15, 2016","293.90","293.65","295.50","290.05","879.10K","0.22%"
"Sep 14, 2016","293.25","290.25","294.95","290.25","1.55M","0.95%"
"Sep 12, 2016","290.50","290.00","292.00","285.00","1.24M","-0.79%"
"Sep 09, 2016","292.80","298.00","299.00","292.00","730.79K","-2.02%"
"Sep 08, 2016","298.85","297.05","299.50","295.00","844.06K","0.57%"
"Sep 07, 2016","297.15","298.00","301.00","296.50","990.15K","-0.83%"
"Sep 06, 2016","299.65","297.50","300.45","296.80","886.66K","0.89%"
"Sep 02, 2016","297.00","293.90","297.45","290.60","1.47M","1.11%"
"Sep 01, 2016","293.75","290.60","294.80","290.60","688.68K","1.08%"
"Aug 31, 2016","290.60","293.00","297.50","288.75","1.99M","-1.09%"
"Aug 30, 2016","293.80","288.00","294.90","288.00","1.03M","1.96%"
"Aug 29, 2016","288.15","288.50","288.95","285.85","1.09M","-0.10%"
"Aug 26, 2016","288.45","292.95","293.95","287.10","1.32M","-1.40%"
"Aug 25, 2016","292.55","294.50","295.50","291.10","2.77M","-0.46%"
"Aug 24, 2016","293.90","291.00","294.60","290.00","753.68K","1.07%"
"Aug 23, 2016","290.80","295.75","296.05","289.70","1.95M","-1.67%"
"Aug 22, 2016","295.75","300.00","302.70","294.30","1.34M","-1.33%"
"Aug 19, 2016","299.75","302.80","304.95","299.00","2.11M","-0.81%"
"Aug 18, 2016","302.20","303.00","305.95","301.55","1.71M","-0.41%"
"Aug 17, 2016","303.45","299.80","303.95","298.65","1.30M","1.57%"
"Aug 16, 2016","298.75","298.90","301.70","292.80","5.57M","1.00%"
"Aug 12, 2016","295.80","296.95","297.90","293.75","1.58M","0.42%"
"Aug 11, 2016","294.55","286.70","295.85","282.05","2.37M","2.97%"
"Aug 10, 2016","286.05","290.00","293.90","285.00","1.47M","-1.11%"
"Aug 09, 2016","289.25","292.60","293.90","288.00","1.71M","-1.11%"
"Aug 08, 2016","292.50","296.00","296.85","291.45","1.18M","-1.10%"
"Aug 05, 2016","295.75","296.50","298.00","294.10","772.77K","0.03%"
"Aug 04, 2016","295.65","299.00","300.35","292.75","955.71K","-0.44%"
"Aug 03, 2016","296.95","302.10","303.10","296.10","756.78K","-1.38%"
"Aug 02, 2016","301.10","302.50","305.00","300.00","1.07M","-0.30%"
"Aug 01, 2016","302.00","304.50","305.90","300.60","969.98K","-0.53%"
"Jul 29, 2016","303.60","307.95","307.95","303.05","1.34M","-1.30%"
"Jul 28, 2016","307.60","305.60","309.90","303.20","3.39M","-0.02%"
"Jul 27, 2016","307.65","303.95","310.50","296.15","4.60M","1.53%"
"Jul 26, 2016","303.00","307.00","307.55","302.50","679.29K","-1.25%"
"Jul 25, 2016","306.85","307.70","310.75","304.50","1.15M","-0.24%"
"Jul 22, 2016","307.60","303.20","308.85","302.90","1.33M","0.82%"
"Jul 21, 2016","305.10","306.95","307.45","300.70","882.02K","0.36%"
"Jul 20, 2016","304.00","309.95","311.50","302.05","1.74M","-2.17%"
"Jul 19, 2016","310.75","315.00","316.00","303.40","1.63M","-0.96%"
"Jul 18, 2016","313.75","313.25","316.00","311.25","535.61K","0.56%"
"Jul 15, 2016","312.00","313.05","319.95","310.90","754.49K","-0.56%"
"Jul 14, 2016","313.75","319.85","320.00","312.50","1.07M","-1.09%"
"Jul 13, 2016","317.20","314.20","318.50","313.15","1.95M","1.05%"
"Jul 12, 2016","313.90","315.25","316.40","310.40","777.97K","-0.38%"
"Jul 11, 2016","315.10","313.15","317.75","313.15","1.28M","0.74%"
"Jul 08, 2016","312.80","316.35","316.35","312.15","1.34M","-0.57%"
"Jul 07, 2016","314.60","308.00","315.45","307.55","2.03M","2.14%"
"Jul 05, 2016","308.00","309.00","311.00","307.20","676.08K","0.02%"
"Jul 04, 2016","307.95","310.80","312.20","306.10","901.04K","-0.92%"
"Jul 01, 2016","310.80","308.65","314.00","308.65","1.16M","0.70%"
"Jun 30, 2016","308.65","308.00","310.25","304.60","1.92M","1.40%"
"Jun 29, 2016","304.40","312.90","316.20","301.45","3.34M","-2.75%"
"Jun 28, 2016","313.00","319.80","320.00","311.80","1.69M","-1.85%"
"Jun 27, 2016","318.90","312.00","319.50","311.00","1.20M","2.59%"
"Jun 24, 2016","310.85","303.55","312.20","298.05","1.12M","1.35%"
"Jun 23, 2016","306.70","309.00","310.80","304.95","1.10M","-1.00%"
"Jun 22, 2016","309.80","309.05","313.75","308.60","685.08K","0.00%"
"Jun 21, 2016","309.80","312.90","314.45","307.90","1.07M","-1.10%"
"Jun 20, 2016","313.25","313.55","316.00","311.80","1.06M","-0.60%"
"Jun 17, 2016","315.15","315.20","316.70","311.75","1.06M","0.33%"
"Jun 16, 2016","314.10","312.20","315.25","311.00","829.79K","0.59%"
"Jun 15, 2016","312.25","308.00","313.20","307.25","1.10M","1.41%"
"Jun 14, 2016","307.90","303.00","308.40","302.45","1.02M","1.47%"
"Jun 13, 2016","303.45","298.00","305.00","297.15","1.65M","0.63%"
"Jun 10, 2016","301.55","305.00","305.95","300.40","1.65M","-0.59%"
"Jun 09, 2016","303.35","307.65","309.00","302.25","558.78K","-1.40%"
"Jun 08, 2016","307.65","307.90","309.90","305.60","671.35K","0.02%"
"Jun 07, 2016","307.60","305.40","309.00","303.20","1.06M","1.43%"
"Jun 06, 2016","303.25","307.00","311.90","302.15","2.19M","-0.87%"
"Jun 03, 2016","305.90","300.00","306.85","297.80","2.26M","2.21%"
"Jun 02, 2016","299.30","290.00","300.00","289.05","1.92M","3.17%"
"Jun 01, 2016","290.10","289.90","293.00","288.55","887.97K","0.14%"
"May 31, 2016","289.70","298.00","298.00","288.25","2.64M","-2.88%"
"May 30, 2016","298.30","295.55","299.90","292.00","794.15K","0.85%"
"May 27, 2016","295.80","295.70","300.90","292.50","1.33M","0.48%"
"May 26, 2016","294.40","289.55","295.00","289.50","1.39M","1.97%"
"May 25, 2016","288.70","284.35","289.45","282.75","724.72K","1.98%"
"May 24, 2016","283.10","287.30","289.80","281.05","1.03M","-0.88%"
"May 23, 2016","285.60","279.85","286.30","275.50","1.45M","3.07%"
"May 20, 2016","277.10","282.95","285.10","276.20","926.12K","-1.58%"
"May 19, 2016","281.55","288.80","290.25","279.80","1.33M","-1.68%"
"May 18, 2016","286.35","278.20","287.50","278.20","873.56K","1.83%"
"May 17, 2016","281.20","285.90","286.90","280.35","1.09M","-1.32%"
"May 16, 2016","284.95","289.00","289.85","282.60","947.33K","-1.57%"
"May 13, 2016","289.50","289.50","293.70","283.70","1.26M","-0.65%"
"May 12, 2016","291.40","293.55","295.40","289.25","836.97K","-0.58%"
"May 11, 2016","293.10","290.00","293.70","287.10","1.12M","1.02%"
"May 10, 2016","290.15","288.10","292.50","288.10","1.65M","0.83%"
"May 09, 2016","287.75","291.40","295.00","285.90","1.34M","-0.84%"
"May 06, 2016","290.20","283.00","293.00","283.00","2.20M","2.69%"
"May 05, 2016","282.60","283.55","289.00","280.10","1.15M","0.48%"
"May 04, 2016","281.25","288.05","289.90","279.45","1.79M","-3.15%"
"May 03, 2016","290.40","296.15","296.60","287.20","1.70M","-1.94%"
"May 02, 2016","296.15","275.50","299.95","274.40","4.13M","7.38%"
"Apr 29, 2016","275.80","273.05","279.40","271.15","3.46M","2.28%"
"Apr 28, 2016","269.65","275.00","275.00","262.80","4.79M","-1.05%"
"Apr 27, 2016","272.50","266.00","274.50","264.25","1.22M","2.23%"
"Apr 26, 2016","266.55","266.80","269.05","264.45","734.07K","-0.09%"
"Apr 25, 2016","266.80","266.55","269.25","262.55","970.89K","0.72%"
"Apr 22, 2016","264.90","267.60","274.80","263.70","1.36M","-0.86%"
"Apr 21, 2016","267.20","268.00","269.20","262.80","737.90K","-0.02%"
"Apr 20, 2016","267.25","272.40","273.00","264.80","815.58K","-2.34%"
"Apr 18, 2016","273.65","267.95","275.00","267.75","1.50M","2.28%"
"Apr 13, 2016","267.55","265.00","268.70","262.65","1.46M","1.81%"
"Apr 12, 2016","262.80","254.85","263.60","254.75","1.15M","3.71%"
"Apr 11, 2016","253.40","250.00","254.40","248.15","468.79K","1.34%"
"Apr 08, 2016","250.05","247.55","251.90","246.45","652.31K","0.95%"
"Apr 07, 2016","247.70","248.00","249.40","246.00","847.87K","-0.04%"
"Apr 06, 2016","247.80","245.60","248.50","245.10","1.39M","0.73%"
"Apr 05, 2016","246.00","249.00","250.05","244.95","628.03K","-1.42%"
"Apr 04, 2016","249.55","250.50","252.75","247.50","343.18K","-0.38%"
